Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
sumatera selatan - kota pagar alam,4,0.00,8.88,34.69,0.56,41.12,9.68,0.87,67.70,23.30,57.79,97,
sumatera selatan - kota lubuklinggau,5,0.00,12.65,18.81,0.00,33.15,9.51,0.26,70.25,17.50,66.10,94,
sumatera selatan - kota prabumulih,5,0.00,11.23,13.30,0.01,40.09,10.31,0.24,71.27,15.40,68.11,92,
bengkulu - bengkulu selatan,5,0.53,17.51,26.54,0.34,59.02,9.53,1.05,68.40,24.00,74.91,257,
bengkulu - rejang lebong,5,0.99,14.79,28.28,0.80,55.84,9.31,1.16,69.22,28.60,73.11,276,
bengkulu - bengkulu utara,5,1.56,11.29,30.41,0.00,43.03,8.22,3.15,68.77,21.60,72.62,282,
bengkulu - kaur,5,0.72,17.83,32.75,0.73,46.75,8.25,3.87,67.27,14.30,74.75,258,
bengkulu - seluma,5,0.84,18.00,30.72,0.67,57.84,8.20,2.06,68.35,26.00,71.61,292,
bengkulu - mukomuko,6,1.24,10.76,10.28,0.13,36.02,8.87,4.18,67.30,27.10,76.57,234,
bengkulu - lebong,6,0.37,11.15,46.67,0.02,44.85,8.49,3.00,63.93,15.70,77.06,223,
bengkulu - kepahiang,5,1.22,14.12,22.28,0.16,55.68,8.41,0.95,68.46,22.10,72.43,284,
bengkulu - bengkulu tengah,4,2.89,9.40,27.25,0.31,60.54,7.57,1.55,68.52,23.20,62.14,341,
bengkulu - kota bengkulu,6,0.00,14.71,4.54,0.05,12.26,11.90,0.05,70.74,6.70,78.72,74,
lampung - lampung selatan,6,0.39,12.79,30.47,0.00,20.90,8.07,0.92,69.97,10.30,84.46,84,
lampung - lampung tengah,6,0.12,10.65,26.20,0.99,31.53,8.00,1.41,70.29,16.70,84.93,73,
lampung - lampung utara,6,0.13,17.17,33.08,0.17,60.90,8.55,1.23,69.83,23.50,76.82,228,
lampung - lampung barat,6,0.71,11.17,27.03,1.14,52.76,8.57,1.90,68.13,24.60,76.18,237,
lampung - tulang bawang,6,0.11,8.04,18.29,0.00,22.06,7.89,2.34,70.42,9.80,88.78,15,
lampung - tanggamus,6,0.77,10.52,30.01,0.15,53.84,7.35,2.13,69.23,17.10,76.40,236,
lampung - lampung timur,6,0.17,13.80,18.51,0.00,30.49,8.34,2.07,71.25,14.20,85.22,68,
lampung - way kanan,6,0.46,11.02,27.68,0.00,44.87,7.83,2.51,69.91,22.70,79.61,174,
lampung - pesawaran,6,0.45,12.89,26.78,0.00,43.85,8.21,0.94,69.74,10.00,80.85,147,
lampung - pringsewu,6,0.53,9.14,20.91,0.00,11.49,8.56,0.37,71.05,15.80,87.35,33,
lampung - mesuji,6,0.14,6.73,13.60,0.00,22.71,7.20,3.02,68.75,5.00,88.18,19,
lampung - tulang bawang barat,6,0.17,7.25,17.73,0.00,55.59,8.05,1.35,70.42,10.50,83.74,92,
lampung - pesisir barat,6,0.49,13.49,18.66,0.46,59.30,8.75,4.24,64.29,16.10,75.77,243,
lampung - kota bandar lampung,6,0.00,7.77,9.23,0.00,8.71,10.94,0.03,71.91,13.40,84.64,49,
lampung - kota metro,6,0.00,7.28,7.19,0.00,9.50,10.80,0.04,72.12,7.10,85.78,45,
kepulauan bangka belitung - bangka,5,2.90,4.32,15.55,0.20,11.86,8.79,1.69,71.60,23.20,74.35,261,
kepulauan bangka belitung - belitung,4,5.00,6.46,6.72,0.14,8.85,9.16,2.66,71.54,20.80,62.34,338,
kepulauan bangka belitung - bangka selatan,6,0.62,3.11,19.12,0.00,23.99,7.49,5.04,68.98,20.70,84.87,76,
kepulauan bangka belitung - bangka tengah,4,5.00,5.29,20.67,0.00,14.30,7.48,2.89,72.11,18.20,60.38,353,
kepulauan bangka belitung - bangka barat,4,5.00,2.71,11.70,0.00,20.73,7.87,3.40,70.43,20.60,60.25,354,
kepulauan bangka belitung - belitung timur,4,5.00,6.73,7.72,0.14,14.77,9.09,3.85,72.59,17.30,62.02,342,
kepulauan bangka belitung - kota pangkalpinang,6,0.00,4.27,3.48,0.00,7.03,10.39,0.07,73.96,20.70,87.27,38,
kepulauan riau - bintan,4,5.00,5.90,12.83,0.00,20.42,9.82,1.26,71.09,21.60,60.42,352,
kepulauan riau - karimun,4,5.00,5.95,6.85,0.00,12.19,9.20,0.84,72.01,17.90,62.68,335,
kepulauan riau - natuna,4,5.00,5.25,14.69,0.00,8.26,9.28,2.67,66.22,16.10,60.51,350,
kepulauan riau - lingga,3,5.00,11.26,17.80,2.77,23.63,7.92,3.31,63.50,20.50,53.02,374,
kepulauan riau - kepulauan anambas,3,5.00,6.95,6.00,0.16,45.37,8.25,1.16,68.10,15.20,55.34,366,
kepulauan riau - kota batam,6,0.00,5.02,3.53,0.13,2.72,11.12,0.20,73.94,16.10,88.83,26,
kepulauan riau - kota tanjungpinang,6,0.00,7.95,3.94,0.00,12.38,10.90,0.10,72.85,15.20,83.22,58,
dki jakarta - kepulauan seribu,3,5.00,13.13,35.09,0.00,1.54,9.01,0.05,69.61,18.60,58.05,360,
dki jakarta - jakarta pusat,6,0.00,4.68,12.33,0.00,2.40,11.33,0.00,74.81,19.10,91.63,10,
dki jakarta - jakarta utara,6,0.00,6.78,17.17,0.12,0.86,10.65,0.02,73.59,19.80,87.42,37,
dki jakarta - jakarta barat,6,0.00,4.09,5.08,0.00,2.09,10.94,0.01,74.16,17.10,91.35,14,
dki jakarta - jakarta selatan,6,0.00,3.10,4.01,0.00,13.99,11.63,0.01,74.78,16.60,90.52,16,
dki jakarta - jakarta timur,6,0.00,4.20,8.73,0.00,8.10,11.77,0.01,75.12,16.80,91.81,9,
jawa barat - bogor,5,2.63,7.27,33.47,0.00,31.89,8.67,0.29,71.92,27.60,70.01,307,
jawa barat - sukabumi,6,0.80,7.01,35.75,0.05,44.67,7.62,0.87,71.83,27.00,78.59,197,
jawa barat - cianjur,6,0.67,10.22,42.96,0.09,32.56,7.13,0.84,70.79,11.40,80.60,152,
jawa barat - bandung,6,1.53,6.40,21.67,0.00,22.97,9.28,0.31,74.27,29.20,80.63,151,
jawa barat - garut,6,0.51,9.77,45.40,0.00,46.60,8.04,0.63,72.07,24.10,78.99,186,
jawa barat - tasikmalaya,6,0.80,10.28,44.27,0.16,35.61,8.24,0.98,70.19,20.70,78.47,199,
